--------------------
Env: Atari-Alien-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		180.000		302.000		236.000		158.000		218.000		190.000		186.000		211.000		234.000		258.000
100000		806.000		1632.000	726.000		896.000		1138.000	1004.000	1597.000	745.000		709.000		641.000
200000		979.000		2143.000	967.000		907.000		1235.000	1944.000	2219.000	1890.000	721.000		1362.000
300000		1929.000	1587.000	1102.000	1737.000	1231.000	2144.000	3084.000	2870.000	829.000		2429.000
400000		1630.000	2007.000	1141.000	1034.000	969.000		3431.000	2615.000	1666.000	877.000		2672.000
500000		2438.000	2279.000	1328.000	3134.000	1290.000	2588.000	2893.000	1738.000	1260.000	2388.000
600000		1175.000	1911.000	1266.000	975.000		1283.000	3162.000	3122.000	2950.000	1324.000	2459.000
700000		1837.000	2299.000	1178.000	2035.000	1662.000	2881.000	2834.000	2992.000	1270.000	2512.000
800000		1763.000	2246.000	1161.000	2108.000	1636.000	3801.000	3220.000	2653.000	1190.000	1547.000
900000		2197.000	2399.000	1211.000	1093.000	1807.000	3948.000	2950.000	4147.000	1293.000	2264.000
1000000		1737.000	2279.000	1245.000	1625.000	1709.000	3986.000	3646.000	3802.000	1392.000	3293.000
1100000		2990.000	2055.000	1244.000	2302.000	1919.000	3196.000	3160.000	2867.000	1359.000	2396.000
1200000		2470.000	2613.000	1329.000	1079.000	1985.000	2696.000	3353.000	2791.000	1304.000	3695.000
1300000		3515.000	3112.000	1217.000	1471.000	1530.000	3975.000	3322.000	2245.000	1228.000	2595.000
1400000		2616.000	2479.000	1421.000	1339.000	1932.000	929.000		3936.000	3209.000	1409.000	2447.000
1500000		2549.000	2301.000	1285.000	1013.000	1904.000	2673.000	3909.000	1209.000	1302.000	2907.000
1600000		2696.000	2359.000	1295.000	3356.000	1928.000	2084.000	2501.000	3534.000	1404.000	3418.000
1700000		2443.000	2520.000	1683.000	1090.000	2027.000	3672.000	2297.000	3796.000	1319.000	2343.000
1800000		2889.000	2703.000	1474.000	3148.000	1813.000	2589.000	1692.000	2731.000	1496.000	3845.000
1900000		3743.000	2736.000	1492.000	2893.000	2119.000	3648.000	3911.000	3605.000	2012.000	4353.000
2000000		2737.000	3045.000	1296.000	4307.000	2134.000	2420.000	3443.000	3168.000	1778.000	4499.000
