--------------------
Env: Dmc-visual-acrobot-swingup
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		6.06898		6.97233		15.05322	28.98791	13.45157	4.78913		23.70790	10.99947	0.17365		2.50171
5000		2.41535		8.27926		42.23161	4.47553		2.51961		4.39561		14.32253	18.17920	1.34776		1.59930
10000		8.24891		0.81371		13.40034	6.84558		29.25776	3.57028		28.23558	10.12009	2.08158		0.58755
15000		4.02635		14.22488	8.80162		5.28867		22.61388	18.05306	12.51503	3.55671		21.39024	9.17708
20000		8.77652		9.11906		4.67426		13.23904	9.52666		16.73589	19.60674	10.70431	9.53711		11.27953
25000		17.02152	1.24824		2.32814		4.37905		1.11585		22.73218	1.91461		15.60830	27.76571	24.87600
30000		40.81003	12.82694	22.09954	2.59675		25.14419	11.87996	28.81876	22.37983	11.84072	16.09793
35000		18.96412	1.06362		1.99616		5.83275		15.38735	20.18324	25.71181	28.95592	7.88726		0.99849
40000		21.47348	23.26716	16.62913	19.28983	4.43681		13.81843	5.17547		17.22650	4.44218		27.71862
45000		17.03510	2.69224		37.88909	14.93529	14.41135	19.71277	25.87701	13.30813	11.39864	3.55879
50000		28.21561	4.30682		24.45493	13.13345	5.54019		5.09550		18.32212	15.40488	5.00765		5.51720
55000		2.41355		17.99734	5.33806		14.05584	26.11359	16.30410	14.89290	19.11355	6.08526		18.42823
60000		0.83291		13.02330	37.63824	9.68463		3.81409		24.08861	25.51214	3.97049		17.92531	10.45797
65000		5.00665		4.46752		19.71980	9.49738		15.99118	11.37373	14.22410	1.89551		2.64609		2.24453
70000		13.74613	17.02523	8.87828		23.71631	19.44160	51.59187	23.99057	48.77089	33.13693	1.03551
75000		5.22637		18.16589	9.50239		12.05250	22.96083	32.10916	13.80643	9.03859		16.02376	8.79431
80000		29.86384	3.25155		0.05007		6.58112		16.01146	45.11031	9.39003		12.01976	33.85535	11.70900
85000		41.60669	11.90314	12.43209	18.14347	41.15075	46.35656	13.36315	5.09505		6.76578		18.93238
90000		13.16077	12.71704	32.66357	13.78680	52.64925	47.26746	1.23191		19.56352	15.18685	9.32255
95000		38.88459	15.02758	26.86908	4.68074		11.92750	24.76366	21.36322	32.98069	12.44388	11.47614
100000		13.33259	9.30763		8.83293		22.58084	6.35253		24.34658	31.05296	13.76986	41.71526	14.62419
105000		15.23131	19.81969	2.44252		1.66327		34.06156	29.36948	15.28212	8.89599		11.57441	6.10761
110000		15.01048	16.75771	6.92909		12.37146	19.95331	27.67054	10.42708	22.45625	24.35252	7.42825
115000		6.04956		41.62129	4.32633		3.90290		123.95482	44.55860	17.93641	24.74108	8.63567		7.54716
120000		4.29348		0.70241		21.89586	23.91493	101.47372	20.11531	14.51907	5.99979		16.12397	3.01753
125000		12.34982	36.85299	13.66528	7.33314		5.65844		35.57366	9.88416		3.71632		20.32388	39.01757
130000		27.88078	17.73472	5.43801		12.17316	26.43102	54.26135	20.76667	50.17676	8.47297		20.80232
135000		24.13270	0.14349		30.96166	30.65466	64.01287	94.99446	20.77789	22.53701	23.67457	41.57854
140000		26.92885	14.51281	37.64460	25.07682	67.04420	71.08278	32.36215	7.39052		17.92491	25.64308
145000		9.49841		8.18731		13.18434	5.34058		23.88827	23.09321	9.86613		11.60025	7.96947		81.05104
150000		23.07222	70.39322	13.56812	28.25056	51.40730	138.48191	38.05618	19.46133	32.15972	36.58968
155000		16.49436	15.79429	27.23696	51.74776	64.15694	43.54531	36.05390	29.88286	5.13864		101.83823
160000		15.82681	43.85488	10.35018	0.96005		77.90622	73.27028	41.91768	31.56187	6.14284		87.17252
165000		43.68138	51.11111	28.98696	19.98483	30.38526	170.05218	23.02784	70.95335	21.21885	107.24706
170000		37.39051	36.35236	86.69465	71.79238	87.17618	148.77935	41.24600	30.39930	45.12983	72.87464
175000		56.41380	19.17785	1.49017		41.29751	55.58565	111.43756	24.42010	53.15846	44.65291	49.76231
180000		24.63141	36.82860	31.62269	28.56407	81.05772	125.83593	33.56353	53.12877	52.21682	182.31285
185000		19.71294	53.49119	23.47892	20.72639	89.24527	145.17182	32.94011	47.30681	63.79450	207.38950
190000		96.96486	52.26244	67.47339	19.76815	89.68475	128.78221	3.89121		91.03364	31.77997	171.39059
195000		41.20183	66.09913	64.43537	42.02072	110.19307	110.40768	51.51452	75.74773	56.58156	101.15600
200000		35.42974	60.37745	62.32403	49.59873	85.98902	102.12998	17.52483	70.78909	39.30222	142.51871
205000		69.94599	130.45686	93.25491	18.62936	119.13912	134.03565	88.43239	129.75334	205.62644	174.49262
210000		9.99945		70.45474	21.33026	101.36225	76.57555	112.95773	68.82614	184.11666	40.61268	225.43440
215000		164.54677	94.44772	59.39300	19.06930	102.60741	141.38007	58.19224	59.89596	99.41801	293.86496
