--------------------
Env: Dmc-acrobot-swingup
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		2.22589		17.26436	23.97818	3.52715		19.83642	7.46144		15.77916	40.20073	0.07465		1.70328
5000		0.42927		12.11545	44.01082	4.23877		19.94842	1.30422		40.02851	58.93129	1.25674		0.55379
10000		1.41506		12.25206	16.11930	15.17314	9.77968		4.44493		43.26032	43.03820	2.19522		2.14915
15000		12.03633	4.42242		5.30320		36.63380	27.34877	16.58656	17.17722	15.66938	17.69669	13.39707
20000		37.79211	12.20548	11.72767	23.27715	17.24150	31.38974	19.45690	26.41551	13.63618	54.85193
25000		16.36508	30.96050	47.39517	44.25697	26.21599	5.89266		28.52577	34.22309	46.80641	28.93981
30000		41.77614	36.91928	54.25208	35.01880	18.11464	14.44711	36.27981	62.09043	23.07657	71.34980
35000		46.95048	22.92933	48.86328	53.91797	25.63797	45.76873	23.35511	107.02454	23.74158	69.39613
40000		69.34239	24.80121	84.10438	76.92618	25.99784	6.98434		19.55489	136.34304	73.90962	59.17401
45000		55.43916	23.89919	71.41870	95.21779	79.21402	28.75627	55.23317	110.67628	53.24609	23.80073
50000		50.69740	17.41367	76.70450	83.67655	26.08116	2.69332		16.34827	169.57137	27.55311	92.70189
55000		47.51566	22.97008	52.75848	206.59525	79.42386	69.54070	29.65936	141.73530	199.76283	182.16521
60000		112.15803	43.30402	91.45038	135.70971	13.08408	70.95876	106.27470	202.16987	133.54386	130.21316
65000		93.98858	25.51587	88.30965	148.10351	47.35137	37.60920	16.38996	191.00954	101.12587	144.46020
70000		113.90384	126.79774	62.78746	337.61590	209.47778	109.94240	88.76407	395.31509	164.64132	145.13919
75000		97.38465	91.47509	118.89404	300.35895	79.77376	48.73720	54.07450	245.56866	148.37240	128.09567
80000		97.59645	62.36282	40.94561	192.62051	113.51977	142.59510	126.88963	358.02962	244.72916	215.94851
85000		203.98498	78.06564	98.09315	341.34256	118.68623	153.38180	61.62603	353.05285	217.23977	332.30910
90000		106.66973	48.59184	102.57434	294.06360	193.18957	204.87625	89.79335	202.11013	206.66920	226.40158
95000		228.44683	69.64468	80.00860	190.25764	258.80614	113.89993	139.32491	344.30833	190.48450	316.01052
100000		174.24596	149.33927	81.39853	351.00954	91.39808	21.63922	215.03968	327.58961	269.87730	378.68157
105000		246.20641	243.58148	88.99029	237.15184	258.17113	206.58264	166.38032	325.59353	148.13658	288.42614
110000		161.28182	291.53512	111.80532	380.27682	64.40736	171.44147	64.06950	388.24045	232.27335	258.72322
115000		202.76487	227.56592	195.05258	261.14261	338.89372	115.55588	175.37532	298.14710	178.47877	463.70502
120000		216.84375	152.44058	217.31843	285.81460	167.79083	67.10265	253.93922	99.77263	313.04145	162.45943
125000		318.83549	249.09884	195.32867	369.15691	199.84074	216.70460	99.30236	301.67692	182.00159	257.02988
130000		282.17152	343.72321	170.23540	380.55259	332.31447	135.34565	130.86415	371.46631	252.52444	413.64696
135000		221.90584	162.89197	274.21025	416.29180	261.78573	376.38440	183.41529	304.60062	247.64616	383.74303
140000		282.83582	356.28242	172.09614	376.76829	380.33233	155.79012	119.60125	345.17026	201.07034	336.60919
145000		227.15808	194.80320	227.13731	321.49393	181.73595	194.45961	127.50320	278.28409	290.76476	451.41240
150000		295.09215	391.14529	167.14898	499.57234	170.15259	346.39769	198.92577	508.06597	420.08554	344.82438
155000		228.81766	267.45297	215.46854	434.37054	300.40387	125.56130	197.11197	415.72821	237.47937	220.18115
160000		378.37798	346.47174	232.71208	308.66325	265.12598	298.51367	382.98483	350.99288	202.20823	339.31652
165000		289.72542	366.48508	269.44760	446.35476	132.46200	321.58855	98.21042	357.24044	340.86371	349.25479
170000		340.86750	343.07940	328.92944	370.56023	361.42561	394.86598	218.49684	350.45639	308.90622	338.27272
175000		321.62518	296.29141	233.04007	552.55901	254.67586	204.81242	244.77404	297.34008	405.47635	427.65304
180000		300.23270	431.57199	233.58814	572.71886	266.66646	246.80606	213.91735	348.85175	329.16892	563.25097
185000		369.94210	382.24932	142.68888	640.63232	358.30316	286.42787	184.11937	426.88659	326.96648	409.35120
190000		340.00507	428.35119	279.72395	408.88915	224.90856	225.49768	75.95770	411.40910	339.52927	495.71465
195000		305.36058	414.62677	336.58125	481.02483	461.39765	313.35561	285.81739	394.29510	417.78856	330.10079
200000		303.80591	388.65771	292.92522	463.69214	263.19393	302.17277	247.56608	418.26841	327.77812	395.06284
205000		373.65449	388.20344	362.41211	527.26707	252.08240	385.54267	401.30923	437.31196	401.26424	430.37244
210000		245.02160	297.64643	235.83584	589.90609	307.19353	556.63090	328.67369	509.03491	307.95256	635.99217
215000		378.83203	351.50541	363.67758	467.44690	343.78881	355.64162	320.47877	456.10135	241.26916	605.96126
220000		449.11090	333.85161	316.68527	505.02749	296.93093	391.14603	330.10806	386.70131	295.88877	388.79248
225000		356.93582	388.10079	339.55915	576.37036	338.54847	208.40939	228.96670	421.14472	317.21178	420.56904
230000		386.47832	412.29695	462.70352	426.04822	379.09250	500.32573	261.93645	463.90456	354.46630	274.42042
235000		265.34464	492.99053	342.56043	624.76549	216.49650	174.31264	298.36434	578.37617	247.88265	342.07354
240000		292.42040	491.23690	423.67834	524.64001	464.03772	525.08783	332.59553	513.43819	394.65493	644.57856
245000		392.72427	408.22429	300.85257	565.83402	288.12548	602.09556	328.18088	523.57708	344.43434	431.85933
250000		273.48420	502.02000	360.18361	413.66956	418.04326	568.14225	420.60068	542.78609	314.36519	508.76298
255000		405.72045	362.25571	262.54071	455.73494	441.71963	571.19113	254.97153	561.44047	424.46114	478.28006
260000		317.57596	448.20489	430.76291	584.41826	361.41898	522.96617	243.68292	420.01635	353.21035	486.70469
265000		449.85741	411.42777	403.74747	516.68481	512.14345	280.97045	281.17547	394.22161	476.54154	604.36573
270000		417.48666	425.58696	415.25637	545.77010	371.64465	388.50772	318.89473	496.34181	186.88236	375.89075
275000		427.85640	546.64089	399.27466	525.18847	436.00269	344.84642	297.26276	484.97247	327.44655	630.93275
280000		274.51228	378.15597	385.14545	497.67740	474.53867	400.49416	275.14846	589.68940	424.33447	544.41786
285000		615.44694	405.78996	317.96544	564.96385	384.86477	482.17120	382.99966	471.99662	458.09521	701.97885
290000		422.69497	635.48612	484.65473	578.26033	424.22506	273.63809	299.02460	488.18719	424.84387	576.02807
295000		437.83318	450.62919	472.02846	557.20376	598.98835	459.51440	415.01299	480.06616	391.70805	645.28192
300000		521.92691	478.76910	303.01659	492.10340	429.84840	239.34242	320.53368	631.10319	451.84077	490.45075
305000		434.51690	635.86184	456.67139	480.10564	336.22343	331.46578	445.13301	484.31412	514.36085	546.47291
310000		408.80447	539.93397	471.55155	508.86004	337.90862	326.38938	365.84215	589.48293	530.06101	561.69369
315000		526.28207	534.82783	350.17524	506.22598	382.09687	521.21105	558.19808	680.68836	426.04469	584.60508
320000		423.30376	484.01159	570.93686	617.28940	480.14544	281.10384	504.25146	562.24690	368.84946	481.08189
325000		535.55742	442.04289	496.18050	536.31803	473.45124	604.11429	432.84504	527.28805	332.65920	326.95140
330000		350.71806	507.48979	483.84023	538.62008	480.44128	455.57786	502.46304	606.04659	275.69497	546.15917
335000		445.63973	533.31401	562.58515	505.18374	616.39089	417.76730	368.23887	595.55784	607.61377	408.06203
340000		428.52059	624.60676	566.19106	502.22066	419.98660	465.12500	417.54161	490.56250	410.46293	458.57469
345000		412.35241	572.18780	463.20024	585.37692	481.99693	479.13033	295.91547	556.30718	510.63263	480.67364
350000		520.08111	364.18556	501.74464	511.94507	482.35359	537.34149	586.32793	448.79792	405.96547	541.26867
355000		600.73166	649.61735	519.33684	538.92752	503.09233	463.67519	565.46573	547.41359	380.77950	720.50881
360000		600.42356	581.41096	447.20626	537.56407	556.55984	666.88744	533.57028	412.35238	438.19337	539.70655
365000		481.76871	552.94680	583.70228	557.33610	468.31014	347.29123	469.21535	623.53906	434.74293	553.84285
370000		548.54210	449.23573	488.19231	600.16325	599.30450	568.38293	526.40356	619.75645	510.07585	590.26190
375000		455.56519	492.18866	430.66874	482.42197	477.88019	581.51657	607.40436	579.13261	488.30417	491.55786
380000		479.31131	598.67187	514.57225	489.40480	626.47197	506.85259	442.54009	593.61684	595.90959	636.91325
385000		594.63057	503.82341	562.75691	514.14846	547.22829	514.23496	551.09502	538.58884	451.10693	516.86341
390000		569.57564	581.38558	407.34820	682.83371	578.18019	576.10823	376.68149	507.46644	446.22199	563.39607
395000		530.44729	565.16626	459.18021	560.16039	545.69452	355.63116	436.55014	554.00424	594.47309	479.63228
400000		548.54431	577.99824	663.53918	552.34177	597.93215	585.30702	328.44691	647.99047	514.83280	583.05215
405000		561.69089	631.98099	527.67161	565.56100	599.35005	493.30792	271.72355	457.13732	619.85099	615.82423
410000		667.83346	564.96895	484.19434	598.72124	587.23688	363.47983	533.67469	609.76783	572.35939	534.68186
415000		610.77073	371.65755	557.95137	454.79803	678.36636	578.40674	563.40211	520.08238	497.06032	614.38947
420000		698.26843	517.90541	621.79156	618.62349	398.11459	223.55065	709.54461	479.02367	445.45364	590.71656
425000		467.70533	663.28457	419.67085	647.14002	504.16925	492.25858	444.47237	502.01121	578.02326	592.05632
430000		572.29652	574.63333	524.00096	538.82993	565.02176	640.26582	495.56649	522.85658	480.02470	554.94902
435000		474.58674	584.68412	460.71117	587.12494	515.73413	626.98302	460.31710	643.38773	368.41934	614.07765
440000		591.73280	560.91306	563.06930	646.54821	536.42663	526.46122	310.38951	647.12416	504.76292	515.61286
445000		601.76311	534.89776	604.31815	563.35674	652.14471	668.07500	489.08324	425.77296	590.81769	587.53800
450000		526.21179	583.64039	505.76654	641.09978	496.34760	533.49766	453.27483	565.52739	514.77717	583.36947
455000		479.23827	535.67313	411.97005	623.85765	620.80183	538.72859	485.47647	533.96604	643.91827	532.30402
460000		581.25853	638.91844	642.98048	541.40926	627.63966	536.78174	531.37840	534.17803	439.01943	676.91639
465000		584.59610	576.25135	509.08687	507.12791	696.13771	664.22883	476.27962	448.54700	491.36615	537.91481
470000		499.43621	479.96491	633.62246	548.49815	583.78313	621.41769	671.46877	640.44350	589.87394	567.86767
475000		481.99622	671.21974	637.99552	545.13637	611.60225	632.30903	493.32052	510.85766	568.41764	643.03120
480000		507.21688	554.88788	520.62168	698.18515	615.59535	455.07170	486.57962	687.81054	545.21284	442.18738
485000		495.26614	696.99882	536.33774	644.97552	663.00191	411.67132	471.13458	550.33035	639.56247	635.28832
490000		541.89445	516.76142	523.75744	523.24149	602.31657	649.70324	437.93739	440.34849	643.16466	530.03301
495000		533.87811	506.79340	589.15874	564.77551	582.76354	431.77875	589.11818	509.65541	524.17990	550.92685
500000		504.72169	651.59669	489.57155	555.25712	698.37727	469.67849	632.49047	492.08771	646.72423	529.84782
--------------------
Env: Dmc-ball_in_cup-catch
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		311.50000	283.20000	0.00000		0.00000		290.30000	84.20000	99.00000	0.00000		0.00000		198.40000
5000		0.00000		187.40000	296.70000	86.90000	99.10000	0.00000		293.70000	363.20000	88.20000	198.60000
10000		4.20000		95.80000	0.00000		0.00000		98.60000	154.90000	99.30000	272.60000	88.10000	99.70000
15000		945.60000	0.00000		0.00000		943.30000	49.90000	514.70000	689.90000	582.10000	296.70000	386.30000
20000		962.10000	0.00000		196.20000	961.00000	955.40000	929.50000	937.70000	953.00000	796.10000	878.20000
25000		969.30000	94.10000	276.80000	933.50000	957.80000	958.60000	937.10000	670.40000	978.40000	862.30000
30000		962.10000	950.80000	595.90000	956.80000	965.30000	967.40000	955.20000	952.10000	961.70000	941.40000
35000		985.00000	946.00000	99.10000	963.40000	969.50000	964.60000	978.70000	956.00000	966.20000	953.50000
40000		966.00000	963.20000	608.90000	960.50000	963.90000	963.40000	968.40000	979.70000	972.00000	962.70000
45000		972.20000	972.40000	931.40000	968.60000	962.20000	977.20000	969.00000	973.30000	967.10000	965.50000
50000		976.40000	977.10000	949.80000	960.60000	955.50000	971.90000	966.90000	969.50000	963.60000	962.30000
55000		975.80000	943.40000	955.60000	967.80000	969.00000	969.00000	954.30000	967.00000	973.00000	969.70000
60000		964.80000	969.10000	955.00000	960.00000	950.50000	967.00000	978.50000	971.30000	974.10000	966.10000
65000		983.30000	978.00000	959.30000	970.60000	965.50000	972.00000	972.70000	958.10000	958.60000	957.20000
70000		970.10000	967.30000	977.30000	963.90000	969.80000	983.30000	969.90000	975.10000	959.10000	972.80000
75000		972.20000	960.70000	958.30000	961.50000	964.80000	975.10000	974.10000	979.20000	970.10000	966.80000
80000		973.50000	980.00000	960.10000	974.10000	964.00000	971.90000	966.50000	972.90000	973.20000	974.30000
85000		980.60000	978.90000	961.20000	970.10000	957.80000	971.80000	985.70000	973.70000	978.70000	976.80000
90000		974.70000	975.00000	955.50000	975.60000	965.90000	974.70000	983.00000	965.50000	967.80000	974.30000
95000		978.50000	976.70000	957.40000	985.40000	980.00000	970.10000	975.80000	970.90000	980.50000	975.80000
100000		972.90000	976.70000	971.60000	965.50000	967.40000	979.70000	979.20000	977.60000	967.60000	963.60000
105000		964.00000	970.40000	959.30000	973.20000	970.60000	976.50000	977.70000	978.20000	970.70000	975.50000
110000		973.00000	976.20000	956.80000	975.60000	962.10000	973.40000	971.40000	976.00000	974.30000	968.60000
115000		979.70000	976.30000	978.50000	978.30000	980.70000	976.70000	962.10000	967.20000	976.10000	973.30000
120000		975.30000	983.20000	975.50000	984.80000	961.10000	976.60000	980.40000	940.40000	976.10000	979.20000
125000		975.90000	982.00000	969.80000	981.70000	968.90000	977.00000	980.00000	980.80000	978.60000	978.70000
130000		984.60000	982.30000	973.40000	974.60000	968.00000	985.10000	978.00000	975.70000	978.20000	977.00000
135000		986.40000	968.30000	930.70000	970.50000	967.00000	983.70000	978.60000	971.50000	974.30000	966.80000
140000		981.40000	983.00000	976.90000	976.30000	971.70000	987.00000	967.90000	974.40000	982.90000	973.90000
145000		975.80000	978.40000	967.10000	978.30000	975.40000	982.80000	980.20000	976.60000	969.60000	975.20000
150000		967.00000	974.80000	977.70000	980.90000	971.70000	977.00000	981.30000	974.60000	966.40000	973.20000
155000		973.30000	979.30000	977.90000	977.80000	984.40000	988.80000	973.40000	968.40000	981.00000	974.90000
160000		979.60000	977.10000	977.20000	965.70000	984.00000	974.70000	964.40000	974.30000	975.00000	975.90000
165000		979.10000	984.40000	986.00000	981.50000	969.50000	981.30000	980.80000	975.70000	977.80000	970.20000
170000		974.90000	977.90000	981.00000	979.10000	982.20000	983.30000	976.50000	983.00000	975.60000	977.00000
175000		973.00000	970.90000	972.80000	968.50000	962.00000	974.80000	973.90000	971.20000	981.00000	971.90000
180000		984.10000	977.20000	974.10000	966.30000	982.30000	982.50000	973.50000	980.20000	976.50000	967.10000
185000		975.50000	977.30000	979.60000	987.10000	969.70000	980.70000	974.60000	978.00000	979.00000	974.60000
190000		982.20000	974.90000	978.20000	975.30000	980.00000	974.20000	971.80000	979.50000	976.80000	971.40000
195000		974.60000	980.40000	972.70000	984.00000	969.10000	983.10000	962.80000	986.20000	976.40000	977.60000
200000		975.90000	987.00000	966.80000	973.50000	981.10000	974.40000	992.30000	976.00000	981.80000	969.10000
205000		969.90000	984.20000	969.00000	982.90000	977.60000	975.40000	982.80000	966.70000	984.30000	973.30000
210000		985.20000	986.80000	977.50000	976.10000	980.90000	982.20000	982.90000	975.00000	985.10000	972.50000
215000		982.80000	983.30000	982.10000	970.80000	985.10000	972.30000	976.10000	974.50000	981.80000	977.30000
220000		968.10000	976.80000	971.60000	969.80000	974.30000	980.40000	975.60000	978.60000	986.70000	971.00000
225000		977.30000	981.70000	978.40000	973.60000	977.20000	981.80000	980.90000	970.80000	970.80000	967.20000
230000		982.30000	978.00000	988.10000	977.30000	980.10000	974.30000	976.90000	978.80000	982.60000	983.40000
235000		973.80000	982.60000	968.00000	982.60000	981.20000	984.20000	978.50000	976.20000	979.00000	972.90000
240000		972.00000	981.10000	971.40000	978.20000	972.50000	972.20000	984.20000	978.20000	978.70000	972.40000
245000		974.60000	979.80000	979.60000	975.80000	975.80000	975.90000	980.20000	977.40000	979.20000	970.50000
250000		972.70000	971.20000	977.10000	977.70000	981.00000	976.90000	971.40000	980.60000	980.00000	976.00000
